matchId,teamId,ban1,ban2,ban3,ban4,ban5
BR1_2862377433,100,24,163,238,53,11
BR1_2862377433,200,24,910,497,360,30
BR1_2862685890,100,555,30,33,107,141
BR1_2862685890,200,238,91,85,497,77
BR1_2859251123,100,429,555,910,141,200
BR1_2859251123,200,51,-1,28,238,-1
BR1_2861926996,100,24,51,236,61,429
BR1_2861926996,200,-1,64,-1,119,85
BR1_2861692298,100,107,429,238,555,-1
BR1_2861692298,200,107,64,84,910,24
BR1_2860320723,100,235,157,555,-1,114
BR1_2860320723,200,235,91,33,875,163
BR1_2862613692,100,38,910,-1,-1,39
BR1_2862613692,200,58,350,235,141,16
BR1_2864732390,100,64,51,28,141,114
BR1_2864732390,200,114,246,33,107,111
BR1_2862813509,100,11,141,107,85,-1
BR1_2862813509,200,555,895,77,526,84
BR1_2864392036,100,141,55,200,39,107
BR1_2864392036,200,38,25,64,-1,141
BR1_2861770273,100,61,33,777,203,107
BR1_2861770273,200,114,78,555,12,24
BR1_2864750723,100,777,-1,110,64,55
BR1_2864750723,200,555,92,38,104,69
BR1_2861370386,100,517,910,497,111,126
BR1_2861370386,200,11,157,107,-1,114
BR1_2865494097,100,141,497,33,54,163
BR1_2865494097,200,497,51,33,157,64
BR1_2865182585,100,63,105,11,497,910
BR1_2865182585,200,157,107,555,114,233
BR1_2862646521,100,134,111,107,555,39
BR1_2862646521,200,114,-1,238,110,64
BR1_2862743483,100,64,7,85,-1,67
BR1_2862743483,200,11,84,77,157,126
BR1_2863323276,100,58,33,64,38,77
BR1_2863323276,200,56,38,11,55,68
BR1_2860905065,100,-1,81,67,16,111
BR1_2860905065,200,555,11,122,7,107
BR1_2861857337,100,141,-1,-1,92,122
BR1_2861857337,200,119,33,24,555,245
BR1_2858485434,100,24,-1,777,67,145
BR1_2858485434,200,-1,64,777,51,121
BR1_2862589244,100,235,91,39,141,16
BR1_2862589244,200,497,104,107,39,711
BR1_2863296498,100,111,246,78,523,24
BR1_2863296498,200,107,24,157,67,25
BR1_2858513560,100,84,-1,238,141,518
BR1_2858513560,200,22,64,24,33,114
BR1_2860942910,100,8,27,-1,555,420
BR1_2860942910,200,126,246,107,91,24
BR1_2865054208,100,7,9,141,266,54
BR1_2865054208,200,81,38,-1,421,51
BR1_2859674962,100,-1,40,105,54,235
BR1_2859674962,200,22,55,99,11,145
BR1_2863852096,100,-1,111,498,107,157
BR1_2863852096,200,910,119,55,157,114
BR1_2862686527,100,28,360,55,-1,76
BR1_2862686527,200,120,8,114,51,154
BR1_2860299170,100,910,64,200,26,111
BR1_2860299170,200,24,121,119,81,51
BR1_2865529018,100,203,24,122,164,11
BR1_2865529018,200,246,24,141,7,163
BR1_2859737224,100,35,200,81,12,-1
BR1_2859737224,200,238,9,888,55,22
BR1_2863531286,100,157,30,145,24,35
BR1_2863531286,200,39,54,64,245,91
BR1_2865446492,100,141,24,498,555,126
BR1_2865446492,200,910,33,78,8,60
BR1_2858016931,100,141,67,24,555,55
BR1_2858016931,200,55,517,122,121,526
BR1_2859615220,100,-1,38,28,104,-1
BR1_2859615220,200,-1,-1,360,133,81
BR1_2860111945,100,22,420,111,200,33
BR1_2860111945,200,141,64,-1,85,157
BR1_2863609880,100,119,360,126,22,30
BR1_2863609880,200,64,13,24,92,111
BR1_2861965268,100,53,110,79,38,64
BR1_2861965268,200,11,145,517,22,33
BR1_2863256178,100,107,246,92,157,-1
BR1_2863256178,200,238,-1,910,-1,107
BR1_2860527786,100,107,-1,910,141,200
BR1_2860527786,200,101,238,22,107,24
