itemId,itemName,itemCost
1001,Boots,300
1004,Faerie Charm,250
1006,Rejuvenation Bead,300
1011,Giant's Belt,500
1018,Cloak of Agility,600
1026,Blasting Wand,850
1027,Sapphire Crystal,350
1028,Ruby Crystal,400
1029,Cloth Armor,300
1031,Chain Vest,500
1033,Null-Magic Mantle,450
1035,Emberknife,350
1036,Long Sword,350
1037,Pickaxe,875
1038,B. F. Sword,1300
1039,Hailblade,350
1040,Obsidian Edge,350
1042,Dagger,300
1043,Recurve Bow,400
1052,Amplifying Tome,435
1053,Vampiric Scepter,550
1054,Doran's Shield,450
1055,Doran's Blade,450
1056,Doran's Ring,400
1057,Negatron Cloak,450
1058,Needlessly Large Rod,1250
1082,Dark Seal,350
1083,Cull,450
1101,Scorchclaw Pup,450
1102,Gustwalker Hatchling,450
1103,Mosstomper Seedling,450
1104,Eye of the Herald,0
1500,Penetrating Bullets,0
1501,Fortification,0
1502,Reinforced Armor,0
1503,Warden's Eye,0
1504,Vanguard,0
1506,Reinforced Armor,0
1507,Overcharged,0
1508,Anti-tower Socks,0
1509,Gusto,0
1510,Phreakish Gusto,0
1511,Super Mech Armor,0
1512,Super Mech Power Field,0
1515,Turret Plating,0
1516,Structure Bounty,0
1517,Structure Bounty,0
1518,Structure Bounty,0
1519,Structure Bounty,0
1520,OvererchargedHA,0
1521,Fortification,0
1522,Tower Power-Up,0
2003,Health Potion,50
2010,Total Biscuit of Everlasting Will,50
2015,Kircheis Shard,350
2019,Steel Sigil,225
2031,Refillable Potion,150
2033,Corrupting Potion,350
2049,Guardian's Amulet,1000
2050,Guardian's Shroud,1000
2051,Guardian's Horn,950
2052,Poro-Snax,0
2055,Control Ward,75
2065,Shurelya's Battlesong,550
2138,Elixir of Iron,500
2139,Elixir of Sorcery,500
2140,Elixir of Wrath,500
2141,Cappa Juice,700
2142,Juice of Power,700
2143,Juice of Vitality,700
2144,Juice of Haste,700
221038,B. F. Sword,1300
221053,Vampiric Scepter,0
221058,Needlessly Large Rod,1250
222051,Guardian's Horn,1000
222065,Shurelya's Battlesong,3000
223001,Evenshroud,3000
223003,Archangel's Staff,3000
223004,Manamune,3000
223005,Ghostcrawlers,1000
223006,Berserker's Greaves,1000
223009,Boots of Swiftness,1000
223011,Chemtech Putrifier,3000
223020,Sorcerer's Shoes,1000
223026,Guardian Angel,3000
