matchId,dataVersion,participantpuuid0,participantpuuid1,participantpuuid2,participantpuuid3,participantpuuid4,participantpuuid5,participantpuuid6,participantpuuid7,participantpuuid8,participantpuuid9,gameDuration,gameCreation,gameVersion,mapId,gameMode,gameType
BR1_2863376593,2,XxA0qYxI7IwQ3Hs9TIudZB1GvpcmeBfjsP6EA_Z-xIecZqfkCaa2Rr0NDVltRjrjqz-aPA16pVKCbA,DZdyCEBwIPWqlh_AZUBTYmPHJu5a9qkybZfseEhRkrgIMC5_aavTmZjtDLoYa8pMKL5iWThf5NHoxQ,I1Hu6ODDdXHFLaFlX66dj454zW_J6X687DUPyA4s5M1bRViR3dMJAlv_oaiWW5bZaekPBnI2yPXMZw,fTkSGnPZ-sWIIPcY3-lvqg9UHhiZEyNYWhy-DIENVZgP5CRJt1dcUtIztJBAB6huvTg9Td4hD7QLWA,FoudC0PmwuEolbQ-Y_oEu49iG9zq7Bu_0Z8PwrjjeurR8GJu5jrJ_8BQpMT0Jwyv9M-fjHc0uVul-Q,bwm0uKUU9c5hM5ompRm_GyNhBJU4ZkdRJHdhtxdOunR1ay9m6SXVOD_gfI-H0CVNjGDknh_A5u1kug,GOvdJeAjYshy1ztPIEcWqdE93RbpBs9ZzKprvM80Iln8xw4Pb2ySGKogjuQolfcAMfoQtqlbF5eujA,0D85eFGwzjJ2cXqefLt9ZlJAME--CP-npmiSpxEePjHj1mldV3myzsXt4UIjG4snlSqzO99mwOq-kw,D_7-uY0SKi6swDel3DZlqcdCKz2o5t4v1LnXxAk0kq0Ip7RgQImIC8gnio8bNf9a8EeQOAgrXGUl4Q,qAZy2nZsHeswbcVSQFabWqeWkqinFh0mJKPx8L2PocSJMInrLm28vHFRy3fhYYjd5ypoeAkBsfJw8Q,1574,1703796260813,13.24,11,CLASSIC,MATCHED_GAME
BR1_2861811834,2,QcbCrOr-AEjIijxqaqc1xs9Pzeg7Bm5QNDrkviLFuTstmpo5GX2FNNJmT9UxRWDeTQZM6omaPIX-rQ,74A6IFHgtM2_YfVMx-RJP2iBQSiiNEj-GXKjrID9M9dieq_AeIcwkr1A02ZDLHTH6XH9hf1LLYu7Sg,sd7lqJRiue1NCTeKebxdFKDXP-qAlmi85Z5AX-c9iLiOA1voJwKYUjNgPbnaSGXfQ864fS5_GX1N1w,7vflqHLl4EbyljAegrLKCbGdFNnT4qeGBJuk99v29IrFZf-Qwu9EGCiO0yUf04wA3TBjuHDY1rs1IQ,XmZ-qOT1gJDYaxCqj5HG2xKQoaSIRHEcgRbP9N_QiRPxydSSFI0HFI4e7ysp0Xvyn4Z7k-8akOHwHg,j4ct4xmGG_8P2m_XJcFlEqLyue3MDPZxfAUKR9jG7LA_TwNfYNYX4XsCdMnw0-MRtq5wufgAIRj2Yg,oDwcm2N2GrRvZr5MLVVehWDUeCvxRzWxuoqP6oRPHDSKDwYuKTLFWOYt4_XUwQEkmkE61b7x7HeZVQ,DFsxgiacvwLeISNcLcTys3lf_ooz4nhDEyNuvMxSTJWz_Nsa-8seIiP_6EfTnIEca-W9qVdbNW4sAg,aLMbG0pSYzCwZ9fNzfd1gCUXMnX5K5ZkHlG2lpQEcL-_ayBTjDKLyqylyJj7HdNe-DDvNiVEU7n0fw,z3RghNCcjMAV7JmrMg7skleCxkpGrJ9EHDG0poDJBRJfy55jLVzrgnb6-s9TOaPX4ZHeoyGkWsk41Q,1235,1703558225510,13.24,11,CLASSIC,MATCHED_GAME
BR1_2865575738,2,I-7QSu2hVc1EF_-4hQJ8oSbQu4hBgFqKmOJu-xpizCkhmmOOyJ57gdXwYOAoY4z2fmwmHPDgIm6mAQ,zFs-mE6iZxMrq9sTjD6kP8dUGveaVpdcMhIz9-xOWpb70gKIo0vu7dRxOG5-2IDDOEnhlT3z4lsr2Q,egCP3UMHdwRZNE-HWZ0RiaJIzb3aSS1n21xvVLXH0qrwZrgQwK4feY0FVXUhWyBV7ZiIcMbVHlSk0g,ws5QDhyWs4CiU2oiMUqBxFcZlBmi_hsYEdgWG27AbKdcCBLv3zQjDBPJA4ZkktDPev3r6LaAFhCInQ,cl6zJojXaTHWiE-F2MGa1Gfb6CJnwPVRoEEeRfwm5KWMmqMgDiWuB1eZ6m8pvzMls_aDGQugrSW_oQ,UCQMLNvLLpsxjGJIAcCJFUxoqckIwkni8FTSY6Y-_69yKqV8_fifg-Cu5bJD1g1H6VIUX6f9UVizkw,LTPUQ8PXhVUGsH0a-eO-KtUY8CGVrke4AVenA-mpVYrG13BR6i1dV4YNMQh-wV4SVOh7HSn6wiG1cA,0NV6fqaFHtZ7axVZBkZ7t9idxmtZLb1E3GDpJ1CxE9ozKrH8mUM62rJwEa8_VN27aczIFA0EAZNS1g,gKRcFe3IXIm7haowEu66CqakdwbJiMl-lTPFD4F43iYitRChvHTHWN2pmVpjxushn1nWKOHvwV3rEQ,3RQNR69uwF_8L-vQso-k2-AlQchAyNJlBwDKOnpXiZanbyI0n1F9STYBcr9kUKpkVQ6ml1xSgWrezQ,1635,1704136149862,13.24,11,CLASSIC,MATCHED_GAME
BR1_2860540707,2,TRwI5YpqM2j9bFr5MhYMFjS9R9vgH2C0JlYD8YbranqTA5m_gExAaAEtstw0i1zo3cywpI-tQ2DInw,JvECshLomNZ3rXiuxiQ2Yg7UWRwEq0C771UWdqAEFInFfQxNdjAEqIvujxGMYEkhAaAaYGI44Hnkxw,81DX9BE8SCwuKbf43Gyaghf2LxsXLxTO4dk0M9y-ApYGmFLe4LAL7i7SKIjeLxhvHAVZxlBAeEG7Gw,1E6xEjJnoGnTK3DNB0nW8Zp1cBFyC-Sy_spSNh5ehWiFWewCutQ9shFNcGw6ZXVC2ihrZmQG0QjnQA,qqVRz_9IKOzCKfvE4Fx8TSj9VhWbMrLkBKEgSxDp_S0NFY7XZpvEjSq-S7Z8GQy0eLOPjDyUigVbGQ,jYpyDITHq1OOP9_lXcHrR_l2xqfahv4jfLe0usDFVpGVIl6JFQDM8qCcg40Crm-7Wt1LgtckHsK2nQ,6f1x8GVzl1cfWc2uvpa81m-XQfV9DXQ2B7qVNMyn0Qlp9mEdXd4qoN0tRO9wF7KZCuBcJSUgOgP7Ag,4uQx-yhHrbIxPUyr16NjNMbagN9k3ev4fNjTH2gIZe7aJB7p3fJA7mN7D4VMGQu7igtlUHTWzN70Lw,OCDfG_fnp2u98QL0v1jcQsU4TGaCKLWctwq0E-VTxlgeggf4TiK63pxZYeWmxt1dZzXDuvN2op_92Q,4_jeK2ppSDrT664c0EZ1pdQtVoCTjZsaqYZ4z0cw1e0iMHuahVKVkec9qYDJ72nRI0nLuIAEVoc2Ow,2959,1703374170195,13.24,11,CLASSIC,MATCHED_GAME
BR1_2863196744,2,y6i2CF6tJzuRCkTXMThhY4_kAhFGU0BOcBKuZi-3FEBK2-Icft8Ha4J5wLOYIs7LK0vk-GuvJ-RS7A,ufKIbLhmIpuyQEctfgvePBvTzmLQctv2zKkamuI8lLeGQAkViL0qG0E094Cw_asFi1SkDkPQTxwK2g,Mww0YXkBzSN3ezrEu6IxEHuDOdEV0WSeW_2TYM6692ZYwmp3BSKM0DGCcDR-naFHHkjiNyxK_-CFrg,e9NWpz0zRu_X8q36-YphSJTNrsBZkUYOQPb2_HY7KfaAXWorA03tdS7zNCf07uFCc-D21wuKpk53PQ,oBdIHI6ALNQSLXstNjLRdF0qnrBZI-a3Npa7zL6ceW21Wh-Rdgzl6mCfSfSA_1z5KfV9lC3bVlNbdw,nr1Pj8BWKpGOo2vkB5Zw6oiujtRMfRtFwJ0SDMCUcG1KkD8LqwkAc6mNSdb58ZuNMhtoliImSNaobQ,gwo4nfsPCxCkrihuu_YtRlDCupGVcBVIzIgWUM7hJjI0Fn4UkRKezeKKi06v4DJNsToEEddudffiYw,IQ--GK9qjdmNqeZVaVjZ-3mr5Zdpf5bWhO9gtXyfjMPwFMYWX56ajakl2vTzZiKcuqDnT8eX8ZjURA,b4cCxjfVAglDySpkd6a2-Ie2NaojelXww37KTF1pK36KJA5s-MIThZzJV9TkaYnf4Qqe2BWUPVoiUg,Dw05AR-FaiqxbsDcN_9OZBgS1qMQ3V9Hoy7fqr97yuvekV-U9cnuyqk9-Imzqa0Bj64jNoFFZc6VBg,1928,1703775352337,13.24,11,CLASSIC,MATCHED_GAME
BR1_2860786022,2,6n5GRXFJ5FKAVvNGC1EWUelj-LzKy3pqtsLhiI0q-BwcrYBH4jXxL97be_MiIGbPawdjaek5Mdd_RA,3kZxSsu4jhdP8ALcLTd3fWhBC4DwW-gReVewBQWpSOGpvjny2ezzX-vh4pdnUr8kQ1CX-e4cAhBHhw,Db05wSvwymx3GK3Lc1bPtkUs24jpdZe8ig1ALUYW3LEdtJ3RzstlHPSHwn4vOzS1-Im7_uM-IA5fXw,bz-02xxWEExw8nvFFQ1iFBLfMFODnZbFhHvXZ8SP9-SPDG_mkBWHcf4bv8CMskYLgT0ZdkWzCTyuAw,VA3-Sgl4DB3abJ3kxiLA75jTDWStPBoBJzRyv_MyDWb9IR8iCDS1FRnWFg9ymKowZ89_EtJ61SGnhg,TnGNEcFLScJVYSW2Hq3eqXIc7ZS_14QLtoGTHrbHCFeo8lEtFjL0IwoIS2P4KeLpkbVLakrWJvplqw,yIt2_p3OOaeidYat_3HxQBpUm4dQa6nb7hLvHXDYAmZqo8jslIBBIOss9pscqLIEH4tYH-gRTFxcYg,xsETDRgfKYew8ludp7AidEtu-LCvixvO0Nf4QvN8J2uYSddahozMiq7yQV8LQXANFrrsqJNukFUYLw,y_dB5SxuHbMYpIjPW-iwlWNi5dGZ8TuEc0RN9vk40ggw_-bNL_SzI6hHvu2emV1WMdnTGStFOdraVA,IGlKjLEye0VyozYQs1UnfYyPrdwlD0DrAH25qOLUmq7zVeiMVvPR4zR8RBqDN9OcntYhgUCLyHCP1g,1713,1703404232242,13.24,11,CLASSIC,MATCHED_GAME
BR1_2864956629,2,Z8BflmzBBN186biu_ELK3Fqg-bGzqVSZG4G88DHtmZX04vj1VuQ-jLJvbHqRtjLyC-FSfRZBKAFKBw,ANGuylSZyOyFKW3EGHnyj-HHFUzwYchGXiQ1tT4oEpcADm3Efel6wb9z515PJ860bTIMkh9Bd6VJJA,syGW4kgjYNboF_MdkcJGqbx45c8misjzNRPl8mQiyOY1aIgE1554YpO4o-C3xGoF9ruYlPrWl3p76Q,DVMBp8ZTAE4NbQPfAn99MleFwGPoNQIV8ERTcwPaNHHFcTfJTsIISf0n1MRYz4N-gktTWA0zM5OVBg,jiqG_pw1aiNfKZGvwEcKtNc3l-1cNTqBLDOTt5pjI252QldlTAgHI_FlLAP94SYV_XQ-6aVfh4XxJA,rYJv0jRRzALkH1LjqnZ5Fb6gC2yXtT1t0KcMYhhjmjKm0y1gw1v3ukPRFv_3VPTYzhF7AYjK1_jbnw,BxWwd6hHpUPxMRpg2HRqtMb8RrQDshtpnI_8Tp-RbVWjZMlRSBnLb0Hho4UZO_hoDkuhuyKrhCBGcg,3xxZBMpKqvc_qTbnHFlZ7x9xe-_mpOJsxqMEjx1j2MyybvS38nzpnRvBDbjg9wEDFm4Vfqp6rhrOlw,aNXKFVDgiu8ynVnAnHz795TCWobAYqAf3Qj11XsBgDn8smjIm2XaPigAvnOpPUNdrTmHQ5CenfbzAw,76hlEs_iuxSa66jmMfphIjiA7PSnldn_FvTSL9eKKERZmbPhewLD_if11yaZXSGvRqpRmVmMUcGikg,1613,1704021852681,13.24,11,CLASSIC,MATCHED_GAME
BR1_2861733301,2,T_DKMQQ7mA9HAerq8IvaOZcWRwzKjfgmZKrogrlfj_1uNX54_-02OFkSgPh2wO2wi8LHB33q2X94cA,ZD1ZGP6bctl7GhCLEdJ1f_R4xTsMsupWMgui2t8Twd2h8mNvXKJBMyHZwHfYRsUSxx-os_hvYQeHJQ,sd7lqJRiue1NCTeKebxdFKDXP-qAlmi85Z5AX-c9iLiOA1voJwKYUjNgPbnaSGXfQ864fS5_GX1N1w,mwXElpO-0pVxbix1yllZGZRxIJkRxAfkbHiGtGhEbYdJRaBQQdZgC9NDpevFgfc0S4IZ9XNEkPWrgw,nLUuty2IIlkyPAWBaCuPF1Cxj7m4n0weXNIm_qYsngqEa2c7R5xRoUB6x-s1WUqY5fzxT7rqFUCsxg,nBSZ7ETlwV6g_cr7ipnUEGX8-R3ye-9TOPW0sVIjrjM-0HUngxaMF8JYAunTVfWlZ4oDpufrt6VFzA,HgQVQOOxZPWQMtnfdFSadQe1DL8U2PAui4fbmQc9zI5GFbX8hMGCEapXNs2o00PESxfm4H4Wj45ekQ,SeXv1O08GoqzZ3Umc-SoH7up4er3oKmg14Uw4V_mvHoKwlGeIcPyAyKvVoeYD1b1dspCttELFm6rsA,w8Hkg8iErfJbaTfPO1rtznq5Y-V_QsI2JPuD2qkNEzgPTZudwQwyCKEEmyANA_Ctf_dzQF1CsWj4JA,zLZzWrwrd34JJr5qq7ve7mlTNh3A58Ia0EQoQULLzliLfgCcnMrsAYzw-fpkwUpPZBalPGKXVPBAEQ,1783,1703551733947,13.24,11,CLASSIC,MATCHED_GAME
BR1_2856356373,2,vJIbb3xmqiWxd9Nh3-IS185H1ZRBT_WnYwQ9Rw5_GfCSpbidUEzvmy85eJUWMLOwD2_Qnxp6Jo2LGA,Mww0YXkBzSN3ezrEu6IxEHuDOdEV0WSeW_2TYM6692ZYwmp3BSKM0DGCcDR-naFHHkjiNyxK_-CFrg,POuIcrf5TJtuXvbthfowKXj3Az2Y74Sg5X0trUhTrw8WkKm9lxQ_q4X1-x-fks62_SeRR38ZK6w8PA,aS0nUE1qE39S8NpzmiYWG8SqARS742oLny_dRRxHfZFHiupPjhLv8x-qoQQDJmxXZH1aGmnFOfwBoQ,zIVusDcwwswRnRLl11eKmuGYWZO34WVU0NREtn1ENy97Q9TdwThVUXYu9nsrksGm_r-sqQIU5az8ow,YmQiTe6WJbSGv_Z4dSSrNEX3ptav2480NZQ1JZl22QA6EjfZNARJStuMErGpd8MiqLOLfN-wMFp99w,iSFWJhxDnE5CVwi75aJ81Y5J3d3C9A2p6lkr8QW4Nf1Syh8bBLfhyY-f2uGlFvP4VbGV7AazYNrsQQ,Cw_AaC56bHQ_PJK9QwYbbvJoE7bHENW--8zgpV7eKp4wjvq1EhgIbe5F7FafqtK7yhLs3oodN3CwEQ,l5pMZ42CBdmipsj3XMaXsRKr9_2guaDufSB1_ucuCqLMiG02RjSU1DnVcWXZWPqGy97UQfU2BnbM6w,8IFuFDN0KR0pgwJ7PUDY8paAALd5A8mYne5d38gVw3bqQO9oBsaDDIwxLT3ONmuJkazmBKIa-8q4-g,967,1702774589490,13.24,11,CLASSIC,MATCHED_GAME
BR1_2860548405,2,pFg-larthqpwKwQrDAKmB42X4-_X5_6c0UJo7p_FNweClZU5KxWc85JEzS945Dav5z44se8BqifP2g,oOoZGrIzzAK_tul9vvt771vHU-TIFRzZGs1F8nLDwgt6bhcYUdelRHlyYdw-1D2Tbapkry_h8EsCqQ,ba7E35qYzDDiai8oCBCQ5Eehztds_5U1MqOnk7lWYLfn7fziCebPnhRadF4_ustiEuqUFNhiJVzWCQ,qPVJzw7Qzoqb5kCkKCD_-9-6Nx4aHbu2dCGBmUVODVQAhH3RvLexXuFXMWINiO9eVF1wqC5HHIJoew,xClLh-egSnyc3wvP5XeWpSjs4RvoNS_zpq2X0Nme1oENCl8CJMQ9XwHhenVw2KG8Y_HuJCQhTt3giw,QhqTCPBCC-SUV7qdVag1mPCyvszP5l0M6RBLStJXiNBmvNYdKE8MxbZqmgMTGaABMPYorTx_LuaVzA,C6hBGdNLdQUDbf_krNd9geCozewGNMKYP9cUOKkyCit2Rcer474BPi_J7jcqGBp7tRjTKPnhCYFhTQ,DicEhwy-1Uwcu_IgePuxHbQj8yItncrlu8UzljXfSWOkHK_ILqCybDAfpTPsck1NPtsIVOfxVyXzDQ,0WSSy7iCAxkjKKHeS2I1WaDi5c4gByL52vSCoY-k4uNWwMOrDubWnP4g9xok8pnoC2WsC3_6Nu6RMw,_T4xcaYy0Ae98nmUttz7ff5lMO2Ke4VL67ObDx3A7Cc6qGe1JWqGJgJPR7p4NFfsVH-iN91txXoGJA,1650,1703374721533,13.24,11,CLASSIC,MATCHED_GAME
