puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
NDEr7Xgbq6-lbA9w-dRB3i9Ru4Lrlv2uMiJoqDmSA8CWv6O6YYjJalntivKkcG4hOTedZWeu9trItg,MWiZ8lApXTmRK7oAx_kWVyA2XY3wAtSzpu15pDCJbTeFUw,scary movie,november skies,saori
u9slKVnBVmqkbdyxhLtIXJHZ9kCoUygvjA4MR2w1FwvZiBZpbCM6_ZLJNrjqy9ir6tMUksjOg-7V2A,rJ21DrXiwQ2j7tqGM2rgCSCRoeATaThuL8T1wfNl3ACe-Ic,Pride,Pride,zsz
h8VqCwmSdOVOEiU4ddpvq7Y5BnA0vFjeFB-Y9nGnm9gm9OZrqc2VbZgsM57kti1TlDlAfM6H0G8s0Q,c3VuKocITptfb0Ilc3YombyQtTOGA6W-ajXESl_eRLANtw,Kraad,Kraad,Krααd
hp6TE0jYd4b8d1Bdtl1p8_8b-Z4n8rvllfO5Pli0TGwZmjwJeHvakup_VSrS8JHQ8iM51lJCq33cCA,HPyg3CDYQg1YtpbNWbu0msbR7DC94lG5Uhq4RFk-6Emm,ro0d,ro0d,BR1
ackYF2-iTExnR8FZe19yzQ15LMCW8512wNm0H5l2WJ38TlOYG1jQCeY7ye9zOiLiHwMB_ichJVtkzg,qHvOKOKAJhI91bo7jhOp9Lr7wTF7mEQkX67tbKG8qfHdWA,Otomachi Una,Otomachi Una,魔法少女
xQwK44T8_HPdf9qdI-QAVrcL12Gv8S6q3lmDD12LWiPmjYI-MI40iV0B9KgxfxHE4VQ93T5-BhRtlg,nhWhakQc9pAXAKYuIEW3W_3_Z6aQxx16LBJvh4Zj10bsGII,IlIIllIIIlllIIll,Cloud Nothings,7777
3TZbmnNkF-4qjIBCyBaOMxOU-17vU5WrpczXMPYKDk665Nl8a_0QQD_L-eFIRBCKkEPohFb3fLFnFA,Zo2UlckGFiei7VbaYN2mEkz9HdUjIclpyuY4K6aXR-6oMQ,Soweto,Soweto,BR1
3EkSLnB3W2UcZILTTbOqCcuyiO8Wqr7cl-ox8Duu9IYjC3FHmsq7iif2NYKcU53QNQd45GdDRPmAMg,qV5slMnazu0t4tP_pGu6SYt1GCV-G-hfzbSsrh1-uRnYKUo,Da Água Alvinho,Da Água Alvinho,BR1
pQD4DQYp_DVgznvQUW3DJYxwXM6G813W_KPVeTacifWS3vQq3IQc4uhZZX_Nor5Zkplglh9SjV9J5A,wXvN9AOBMb4nsSGYA_4uUTzGkBefmZHOWLYy1j0K8bRMIA,sdds deIa zz,Salveta CAITA MT,171
ljiM-ACYM7RDxAuyTYjjSoXMwya9dOtyTvdHMMjxFecRaGWsC1q1KvLvguNoKLsIUKZlJUb-RYogMQ,UwBv9iclYbZ7-KN_Do5b6qDBQ8SSiHOge5eA1Mbp6EQsUQ,Miojo yakissoba ,Miojo Yakissoba,deca
uG_MYC6qwFi8hUb1CR8N4LxRtuR5x8lvX1EG7gWu-YEnBll_X6RFZ5d7vLkiR8ipRFtiOG4XLf9jKQ,c2qrMYfUFB7jZIhtcRF7yzCZvY60MlipEw1_I7o3Yzaqeg,BLG Bin,Wonderwall,237
vFz59AnUpvwzle0OnPXL9-bYcoqj9lnDk2kGpC3lO_H_51wd3wD4BY2o7yTuCEuOVjNIQgx0T13qww,cqAxaiGB3CE_pFoz7S_ysXi42LnMpgH_MgqfcViDku1j,Maxmüs,Maxmüs,BR1
YrSOAaabC5ApsySdfT7lGfD4ygTmOxjcYOv4oC08bDUGujGx1UGyIyZHawZpwQQ29lDFtfKjxixK2g,HCr4DYS-MhKTEhpSrUGvufpAICbgROuxce5S91IeuQ9-wQ,Zuckker,Zucker,shaco
ZwPIDJhQ8vFiB4JNI2PITCPMIw9dcv7cMqgxIkvHgQ78CdUFgCWK0fsBAvFKrL5DgbQaZSqZbs1WBg,2cxqxdOgaaouDbgX56m0-SxYp59F-9OuSv2GgX0SIDfHTxJb0Vr1TpCvlQ,eTnne,Hide on bush,GG16
S_Geccyz3rZtp5P6tYoRfTqE6Zr3lgufSH0iuExRehy4OXcoMN55r_QbAyxu1CxWw0gjPdt1_zP_Lw,D5QA9Vr5-20zyeU1Ha9ByJMKDXHGDVHWK9PelfjEQfX1zSU,before gets cold,neyzz11 ツ,VQV
