matchId,teamId,side,win,firstBlood,firstTower,firstInhibitor,firstDragon,firstBaron,firstHerald,championKills,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
BR1_2862377433,100,blue,True,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862377433,200,red,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862685890,100,blue,True,False,True,True,True,False,True,38,11,3,1,1,2
BR1_2862685890,200,red,False,True,False,False,False,True,False,19,1,0,0,2,0
BR1_2859251123,100,blue,False,True,True,False,True,False,False,30,7,0,1,2,1
BR1_2859251123,200,red,True,False,False,True,False,True,True,29,10,2,2,3,1
BR1_2861926996,100,blue,False,True,False,True,True,False,False,39,6,1,1,0,1
BR1_2861926996,200,red,True,False,True,False,False,True,True,31,9,1,1,5,1
BR1_2861692298,100,blue,False,True,False,False,False,False,False,36,3,0,0,0,1
BR1_2861692298,200,red,True,False,True,True,True,True,True,44,10,2,2,3,1
BR1_2860320723,100,blue,False,True,True,False,False,False,True,15,2,0,0,1,1
BR1_2860320723,200,red,True,False,False,True,True,True,False,34,9,1,1,3,1
BR1_2862613692,100,blue,False,False,True,False,False,False,False,37,3,0,0,1,0
BR1_2862613692,200,red,True,True,False,True,True,True,True,36,10,1,2,3,1
BR1_2864732390,100,blue,False,False,False,True,True,False,True,57,6,1,1,3,1
BR1_2864732390,200,red,True,True,True,False,False,True,False,49,9,1,1,2,0
BR1_2862813509,100,blue,False,False,False,False,False,False,False,6,1,0,0,0,0
BR1_2862813509,200,red,True,True,True,True,False,True,True,24,9,1,0,2,2
BR1_2864392036,100,blue,True,True,True,True,True,True,True,47,8,1,1,4,2
BR1_2864392036,200,red,False,False,False,False,False,False,False,27,3,0,0,0,0
BR1_2861770273,100,blue,True,True,False,True,False,True,False,35,7,1,0,3,1
BR1_2861770273,200,red,False,False,True,False,False,False,True,25,4,0,0,0,1
BR1_2864750723,100,blue,False,False,False,False,False,False,False,13,0,0,0,0,0
BR1_2864750723,200,red,True,True,True,True,False,True,True,34,9,2,0,1,2
BR1_2861370386,100,blue,False,True,False,False,False,False,False,12,0,0,0,0,0
BR1_2861370386,200,red,True,False,True,False,False,True,True,27,5,0,0,3,2
BR1_2865494097,100,blue,False,False,False,False,False,False,False,9,0,0,0,0,0
BR1_2865494097,200,red,True,True,True,False,False,True,True,22,3,0,0,1,2
BR1_2865182585,100,blue,False,True,True,False,True,True,True,24,3,0,1,3,2
BR1_2865182585,200,red,True,False,False,True,False,False,False,32,8,1,0,1,0
BR1_2862646521,100,blue,True,False,False,False,True,True,True,29,6,0,1,4,2
BR1_2862646521,200,red,False,True,True,False,False,False,False,17,3,0,0,0,0
BR1_2862743483,100,blue,False,False,True,False,False,False,False,19,2,0,0,1,0
BR1_2862743483,200,red,True,True,False,True,True,True,True,34,9,2,1,3,2
BR1_2863323276,100,blue,False,True,False,False,False,False,False,9,1,0,0,0,0
BR1_2863323276,200,red,True,False,True,True,False,True,True,25,10,2,0,2,2
BR1_2860905065,100,blue,True,False,True,True,True,True,True,36,8,1,1,2,2
BR1_2860905065,200,red,False,True,False,False,False,False,False,26,3,0,0,1,0
BR1_2861857337,100,blue,False,False,True,False,False,False,False,27,3,0,0,0,0
BR1_2861857337,200,red,True,True,False,True,True,True,True,42,10,2,1,3,2
BR1_2858485434,100,blue,True,True,True,True,True,True,False,28,9,1,1,3,1
BR1_2858485434,200,red,False,False,False,False,False,False,True,10,1,0,0,0,1
BR1_2862589244,100,blue,True,True,True,True,True,True,False,51,10,2,1,4,1
BR1_2862589244,200,red,False,False,False,False,False,False,True,32,10,2,2,2,1
BR1_2863296498,100,blue,False,False,False,False,False,False,False,3,0,0,0,0,0
BR1_2863296498,200,red,True,True,True,False,False,True,True,12,3,0,0,1,2
